,img_name,top10sum,top10item,top50sum,top50item,top100sum,top100item,more103binsum,more104binsum,more105binsum,more106binsum,more107binsum,more108binsum,more109binsum,more110binsum,more111binsum,more112binsum,more113binsum,more114binsum,more115binsum,more116binsum,more117binsum,more118binsum,more119binsum,more120binsum,more121binsum,more122binsum,more123binsum,more124binsum,more125binsum,more126binsum,more127binsum,more128binsum,more129binsum,more130binsum,more131binsum,more132binsum,more133binsum,more134binsum,more135binsum,more136binsum,more137binsum,more138binsum,more139binsum,more140binsum,more141binsum,more142binsum,more143binsum,more144binsum,more145binsum,more146binsum,more147binsum,more148binsum,more149binsum,more150binsum,more151binsum,more152binsum,more153binsum,more154binsum,max-40sum,max-40binsum,max-30sum,max-30binsum,max-20sum,max-20binsum,max-10sum,max-10binsum,max-5sum,max-5binsum,max-3sum,max-3binsum,cnt_yellow_thr_105,variance_105,cnt_yellow_thr_120,variance_120
0,001ec8f4d2679f2899a63e4b2597c0a10bd9393f.png,1270,127,6298,125,12480,123,7488.0,4979.0,3312.0,2387.0,1767.0,1362.0,1069.0,863.0,715.0,598.0,502.0,422.0,345.0,289.0,252.0,219.0,188.0,151.0,130.0,102.0,76.0,56.0,37.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,198223,1767.0,30706,252.0,12726,102.0,7048,56.0,458,207,6,2
1,00327390bfd6101b87106e96e0efc1c938690e1f.png,1252,124,6056,119,11933,117,7073.0,4558.0,2990.0,2004.0,1400.0,990.0,702.0,524.0,377.0,290.0,220.0,164.0,130.0,101.0,71.0,56.0,38.0,22.0,14.0,10.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,488715,4558.0,19324,164.0,4628,38.0,1740,14.0,137,46,0,0
2,00573dde8addbac780cfa35a55a790fa1aa45178.png,1270,127,6309,125,12514,123,8017.0,5356.0,3577.0,2572.0,1902.0,1449.0,1130.0,892.0,714.0,589.0,502.0,419.0,355.0,296.0,241.0,206.0,183.0,149.0,132.0,108.0,93.0,62.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,212995,1902.0,29430,241.0,13498,108.0,7809,62.0,478,201,0,0
3,00cb5b91a4acdfaa2f55dc2266e598ff06f9209e.png,1242,123,6079,119,11962,116,7161.0,4593.0,3034.0,2067.0,1491.0,1091.0,776.0,570.0,432.0,318.0,228.0,164.0,129.0,97.0,78.0,58.0,45.0,36.0,21.0,15.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,759999,7161.0,26647,228.0,7031,58.0,4404,36.0,112,43,0,0
4,00de1146bdcbfb02ed5f0e13fd6b9fe62157c0b2.png,1256,125,6063,118,11900,116,7234.0,4612.0,3027.0,2063.0,1448.0,1029.0,746.0,554.0,399.0,296.0,220.0,158.0,110.0,80.0,57.0,42.0,33.0,26.0,19.0,15.0,12.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328185,3027.0,13060,110.0,3208,26.0,1873,15.0,106,39,0,0
5,00f087717fbcb44bcd56dbe9477010db40ecb48e.png,1270,127,6292,124,12428,121,7354.0,4803.0,3209.0,2196.0,1599.0,1210.0,928.0,731.0,596.0,486.0,399.0,322.0,264.0,210.0,183.0,161.0,129.0,111.0,94.0,81.0,61.0,46.0,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178750,1599.0,22323,183.0,10116,81.0,5796,46.0,309,110,2,0
6,010bda01a2a05a02638f256ada2a9acba88de850.png,1270,127,6296,125,12470,123,7976.0,5388.0,3780.0,2795.0,2119.0,1709.0,1359.0,1115.0,921.0,766.0,636.0,528.0,437.0,356.0,295.0,247.0,193.0,153.0,126.0,102.0,68.0,56.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,237965,2119.0,35801,295.0,12716,102.0,7046,56.0,861,3114,0,0
7,0118f4bbc13bb2dfa2409f325e395919317d020a.png,1270,127,6289,124,12437,121,8308.0,5644.0,3938.0,2832.0,2156.0,1637.0,1279.0,1015.0,835.0,655.0,536.0,435.0,348.0,277.0,238.0,199.0,163.0,126.0,99.0,85.0,64.0,48.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240928,2156.0,28909,238.0,10608,85.0,6041,48.0,857,2980,0,0
8,0121c786361563c893ef4072cec506690c9dba41.png,1270,127,6302,125,12484,123,7377.0,4879.0,3342.0,2394.0,1808.0,1388.0,1078.0,866.0,711.0,588.0,485.0,421.0,366.0,316.0,265.0,219.0,183.0,149.0,123.0,102.0,76.0,56.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,202708,1808.0,32230,265.0,12730,102.0,7052,56.0,526,781,0,0
9,0133154cf25bb4d555bc6bd3cbe35aec4a1541ad.png,1270,127,6342,126,12613,124,8089.0,5466.0,3771.0,2761.0,2099.0,1678.0,1342.0,1111.0,954.0,827.0,710.0,621.0,546.0,479.0,418.0,352.0,306.0,255.0,222.0,173.0,135.0,98.0,73.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,237034,2099.0,50980,418.0,21627,173.0,12365,98.0,793,582,67,60
